source_file,name,shop_id,rating,review_count,avg_price,category,area,recommended_dishes,has_group_buy,has_promotion,detail_url
debug_page_6.html,富临轩私房菜(集庆门大街店),ka2nJltziG4Vs2Ru,5.0星,2757,￥102,私房菜,集庆门大街,特色牛筋骨 | 黄记凉粉 | 银芽腰花,否,否,https://www.dianping.com/shop/ka2nJltziG4Vs2Ru
debug_page_6.html,四号小馆 RESTAURANT&BAR,k6muzRS2OPD9rOHt,4.0星,1734,￥71,私房菜,南大/南师大,三杯鸡 | 冷锅三脆 | 豆花肥肠鱼,是,否,https://www.dianping.com/shop/k6muzRS2OPD9rOHt
debug_page_6.html,郭氏臻品(云南北路店),l15N81znAyHuHQFk,5.0星,1260,￥260,私房菜,山西路/湖南路,过桥河豚 | 干烧臭桂鱼 | 黑椒牛肉粒,是,否,https://www.dianping.com/shop/l15N81znAyHuHQFk
debug_page_6.html,无双·晓厨(太平南路店),GaLTGjipOnL8SSW2,4.0星,245,￥298,私房菜,常府街/长白街,脆皮牛肉富士山 | 松茸金汤焗膏蟹 | 兰州百合,是,否,https://www.dianping.com/shop/GaLTGjipOnL8SSW2
debug_page_6.html,迟慢厨房·土菜(后宰门店),l8VRHkFlOzSrEL1w,4.5星,3110,￥133,私房菜,珠江路沿线,家烧生态深水大黄鱼 | 功夫牛排煲 | 金爷草鸽,是,否,https://www.dianping.com/shop/l8VRHkFlOzSrEL1w
debug_page_7.html,榕树汇(金沙江东街店),G3a13ann2226aauH,3.5星,805,￥138,特色菜,雨润大街,东沟盐水鹅 | 意大利黑醋红烧肉 | 九宫格淮阳干丝,是,否,https://www.dianping.com/shop/G3a13ann2226aauH
debug_page_7.html,真睦南京民间菜(博物院店),H8KlWpB6bCztjvmh,4.0星,1311,￥82,私房菜,瑞金路沿线,椒麻鱼 | 西红柿牛腩 | 淮扬小炒,是,否,https://www.dianping.com/shop/H8KlWpB6bCztjvmh
debug_page_7.html,未见山·无想茶室,l4fGZzrV9Y2UEofd,4.5星,363,￥79,私房菜,溧水区,无想清汤大鱼头 | 石山下手撕鸡 | 农家手工藕饼,是,否,https://www.dianping.com/shop/l4fGZzrV9Y2UEofd
debug_page_7.html,金川府·庭院私房菜(建宁路店),G6enbIyJwB59GCTh,5.0星,1244,￥208,私房菜,建宁路商圈,至尊佛跳墙 | 蟹黄包 | 凤凰巢脆皮乳鸽,是,否,https://www.dianping.com/shop/G6enbIyJwB59GCTh
debug_page_7.html,新远饭店(无想山店),l5i5L6S94iFK5swT,4.5星,396,￥81,私房菜,洪蓝镇,炖土鸡 | 素蛋饺 | 鱼头豆腐,否,否,https://www.dianping.com/shop/l5i5L6S94iFK5swT
debug_page_7.html,耕读山阴里·美术馆私享菜(山阴路店),k5bE77GM4pFVDUGD,4.0星,793,￥190,私房菜,南大/南师大,薏仁米虾球 | 松鼠鳜鱼仔 | 清凉绿豆糕,否,否,https://www.dianping.com/shop/k5bE77GM4pFVDUGD
debug_page_7.html,原舍(不老村店),GapyyRjcSqHcQmq7,3.5星,164,￥140,私房菜,浦口区,招牌手工豆腐 | 藤椒清蒸多宝鱼 | 芥味花螺,是,否,https://www.dianping.com/shop/GapyyRjcSqHcQmq7
debug_page_7.html,8号菜馆,G5eRzqyFRwCPEEpb,4.0星,212,￥169,私房菜,东山镇,甲鱼泡饭 | 狮子头 | 黑豆腐,否,否,https://www.dianping.com/shop/G5eRzqyFRwCPEEpb
debug_page_7.html,一字街私房菜馆(高淳老街店),l98BYJqjl6tz5F79,3.5星,12,暂无,私房菜,高淳老街,蟹黄包 | 高淳小炒 | 仔糕豆腐园,否,否,https://www.dianping.com/shop/l98BYJqjl6tz5F79
debug_page_7.html,一勺鲜(林公堤店),G3r5PxFOGJ4QIT5K,4.5星,2613,￥93,私房菜,江浦,【头牌爆款】爱上一勺鲜 | 柴火锅巴 | 香酥鸭头,是,否,https://www.dianping.com/shop/G3r5PxFOGJ4QIT5K
debug_page_7.html,南秀·三省里(民国私厨),k479sVR5V96Z1g0e,3.5星,172,￥247,私房菜,南大/南师大,沙律青芥凤尾虾 | XO酱爆海螺 | 金瓜桂圆盅,否,否,https://www.dianping.com/shop/k479sVR5V96Z1g0e
debug_page_7.html,3鱼·私懿膳(新街口店),H4uDFrBUCW2CNRMF,5.0星,372,￥463,私房菜,新街口地区,红酒牛尾 | 灵芝松茸老鸡汤 | 鸡汁生态黄鱼,是,否,https://www.dianping.com/shop/H4uDFrBUCW2CNRMF
